,event_id,device_id,timestamp,longitude,latitude,city,state,gender,age,group,phone_brand,device_model,year,month,month_name,day_of_week,hour
7954,2724838,2.9733477869949143e+18,2016-05-03 23:53:37,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,23
8148,2629693,2.9733477869949143e+18,2016-05-03 00:05:59,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,0
8342,313127,2.9733477869949143e+18,2016-05-01 17:41:14,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,17
8536,1982099,2.9733477869949143e+18,2016-05-04 23:10:39,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Wednesday,23
8730,1928213,2.9733477869949143e+18,2016-05-07 09:24:29,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,9
8924,2231154,2.9733477869949143e+18,2016-05-02 09:23:51,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,9
9118,343865,2.9733477869949143e+18,2016-05-07 09:21:54,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,9
9312,591215,2.9733477869949143e+18,2016-05-03 23:42:14,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,23
9506,585045,2.9733477869949143e+18,2016-05-01 19:33:12,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,19
9700,3196470,2.9733477869949143e+18,2016-05-01 17:02:21,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,17
9894,2262012,2.9733477869949143e+18,2016-05-07 09:58:07,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,9
10088,1882070,2.9733477869949143e+18,2016-05-06 12:49:48,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,12
10282,1687465,2.9733477869949143e+18,2016-05-01 16:52:19,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,16
10476,1652500,2.9733477869949143e+18,2016-05-05 01:09:21,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,1
10670,1434898,2.9733477869949143e+18,2016-05-01 20:52:57,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,20
10864,236407,2.9733477869949143e+18,2016-05-03 21:19:53,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,21
11058,3056044,2.9733477869949143e+18,2016-05-06 07:12:39,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,7
11252,2766660,2.9733477869949143e+18,2016-05-06 23:09:55,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,23
11446,140174,2.9733477869949143e+18,2016-05-07 09:16:23,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,9
11640,1256950,2.9733477869949143e+18,2016-05-01 16:01:36,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,16
11834,716921,2.9733477869949143e+18,2016-05-03 17:50:35,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,17
12028,2847573,2.9733477869949143e+18,2016-05-02 08:56:15,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,8
12222,291141,2.9733477869949143e+18,2016-05-07 22:41:00,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,22
12416,447825,2.9733477869949143e+18,2016-05-02 13:51:22,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,13
12610,1471246,2.9733477869949143e+18,2016-05-03 08:39:46,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,8
12804,1882096,2.9733477869949143e+18,2016-05-06 12:52:51,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,12
12998,2094125,2.9733477869949143e+18,2016-05-04 22:23:40,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Wednesday,22
13192,2479788,2.9733477869949143e+18,2016-05-02 14:14:39,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,14
13386,3216234,2.9733477869949143e+18,2016-05-06 23:24:45,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,23
13580,1128283,2.9733477869949143e+18,2016-05-03 21:26:05,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,21
13774,361067,2.9733477869949143e+18,2016-05-03 20:12:22,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,20
13968,3072400,2.9733477869949143e+18,2016-05-01 18:09:00,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,18
14162,1354372,2.9733477869949143e+18,2016-05-03 00:06:16,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,0
14356,2885309,2.9733477869949143e+18,2016-05-03 17:32:27,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,17
14550,3174106,2.9733477869949143e+18,2016-05-01 17:51:10,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,17
14744,1159332,2.9733477869949143e+18,2016-05-03 20:22:25,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,20
14938,1594703,2.9733477869949143e+18,2016-05-05 01:03:59,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,1
15132,916924,2.9733477869949143e+18,2016-05-05 23:00:21,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,23
15326,923137,2.9733477869949143e+18,2016-05-04 09:07:13,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Wednesday,9
15520,2041942,2.9733477869949143e+18,2016-05-05 01:39:12,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,1
15714,1008474,2.9733477869949143e+18,2016-05-05 08:56:53,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,8
15908,1914487,2.9733477869949143e+18,2016-05-07 23:08:25,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,23
16102,58957,2.9733477869949143e+18,2016-05-03 21:51:04,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,21
16296,2557076,2.9733477869949143e+18,2016-05-01 15:00:22,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,15
16490,1923133,2.9733477869949143e+18,2016-05-05 06:47:46,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,6
16684,2382699,2.9733477869949143e+18,2016-05-03 00:04:27,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,0
16878,492,2.9733477869949143e+18,2016-05-04 00:12:23,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Wednesday,0
17072,2133428,2.9733477869949143e+18,2016-05-03 21:12:43,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,21
17266,1743267,2.9733477869949143e+18,2016-05-02 10:33:40,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,10
17460,323498,2.9733477869949143e+18,2016-05-07 22:39:50,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,22
17654,1132129,2.9733477869949143e+18,2016-05-04 00:55:56,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Wednesday,0
17848,3173574,2.9733477869949143e+18,2016-05-05 23:39:31,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,23
18042,198157,2.9733477869949143e+18,2016-05-07 09:29:09,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,9
18236,788521,2.9733477869949143e+18,2016-05-05 09:45:25,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,9
18430,2207011,2.9733477869949143e+18,2016-05-01 10:21:09,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,10
18624,2433523,2.9733477869949143e+18,2016-05-07 17:15:57,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,17
18818,1060416,2.9733477869949143e+18,2016-05-05 09:52:27,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,9
19012,420948,2.9733477869949143e+18,2016-05-01 16:19:36,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,16
19206,2849287,2.9733477869949143e+18,2016-05-03 09:07:03,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,9
19400,808899,2.9733477869949143e+18,2016-05-05 06:29:32,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,6
19594,1670274,2.9733477869949143e+18,2016-05-02 09:06:10,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,9
19788,2037393,2.9733477869949143e+18,2016-05-07 23:48:21,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,23
19982,2341312,2.9733477869949143e+18,2016-05-03 15:12:56,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,15
20176,272079,2.9733477869949143e+18,2016-05-02 08:50:54,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,8
20370,1454548,2.9733477869949143e+18,2016-05-01 15:48:17,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,15
20564,2911345,2.9733477869949143e+18,2016-05-02 14:04:25,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,14
20758,1598377,2.9733477869949143e+18,2016-05-01 07:26:38,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,7
20952,367056,2.9733477869949143e+18,2016-05-01 07:52:07,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,7
21146,1331263,2.9733477869949143e+18,2016-05-02 08:47:54,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,8
21340,856989,2.9733477869949143e+18,2016-05-01 18:39:37,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,18
21534,2620822,2.9733477869949143e+18,2016-05-01 18:09:17,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,18
21728,2928187,2.9733477869949143e+18,2016-05-03 00:04:56,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,0
21922,2258552,2.9733477869949143e+18,2016-05-02 08:54:21,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,8
22116,1090001,2.9733477869949143e+18,2016-05-02 13:13:26,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,13
22310,853895,2.9733477869949143e+18,2016-05-01 00:50:52,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,0
22504,633992,2.9733477869949143e+18,2016-05-01 14:06:09,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,14
22698,930574,2.9733477869949143e+18,2016-05-01 15:00:55,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,15
22892,1567523,2.9733477869949143e+18,2016-05-05 23:04:59,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,23
23086,846475,2.9733477869949143e+18,2016-05-02 12:54:04,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,12
23280,942458,2.9733477869949143e+18,2016-05-01 00:52:11,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,0
23474,1526458,2.9733477869949143e+18,2016-05-03 20:48:34,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,20
23668,2425028,2.9733477869949143e+18,2016-05-01 23:08:16,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,23
23862,3047430,2.9733477869949143e+18,2016-05-01 07:58:41,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,7
24056,2483204,2.9733477869949143e+18,2016-05-07 15:58:40,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,15
24250,2489237,2.9733477869949143e+18,2016-05-03 21:42:28,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,21
24444,907068,2.9733477869949143e+18,2016-05-06 17:11:55,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,17
24638,960282,2.9733477869949143e+18,2016-05-06 14:21:35,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,14
24832,323499,2.9733477869949143e+18,2016-05-07 22:41:48,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,22
25026,1331261,2.9733477869949143e+18,2016-05-02 08:47:24,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,8
25220,1284552,2.9733477869949143e+18,2016-05-01 14:05:40,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,14
25414,1951369,2.9733477869949143e+18,2016-05-06 23:02:56,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,23
25608,2789445,2.9733477869949143e+18,2016-05-04 21:03:38,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Wednesday,21
25802,320474,2.9733477869949143e+18,2016-05-03 21:11:57,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,21
25996,1963972,2.9733477869949143e+18,2016-05-02 10:34:12,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,10
26190,274973,2.9733477869949143e+18,2016-05-02 10:15:40,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,10
26384,778907,2.9733477869949143e+18,2016-05-01 22:10:15,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,22
26578,2536174,2.9733477869949143e+18,2016-05-07 22:40:50,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,22
26772,1807399,2.9733477869949143e+18,2016-05-01 18:28:56,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,18
26966,1492025,2.9733477869949143e+18,2016-05-06 23:56:07,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,23
27160,3189190,2.9733477869949143e+18,2016-05-05 08:26:43,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,8
27354,906802,2.9733477869949143e+18,2016-05-04 17:37:30,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Wednesday,17
27548,2415074,2.9733477869949143e+18,2016-05-03 21:08:06,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,21
27742,298176,2.9733477869949143e+18,2016-05-05 07:10:43,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,7
27936,947157,2.9733477869949143e+18,2016-05-05 06:48:08,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,6
28130,124813,2.9733477869949143e+18,2016-05-05 07:20:21,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,7
28324,3201361,2.9733477869949143e+18,2016-05-07 13:03:03,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,13
28518,2923092,2.9733477869949143e+18,2016-05-03 21:43:40,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,21
28712,1121816,2.9733477869949143e+18,2016-05-01 16:52:12,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,16
28906,1217466,2.9733477869949143e+18,2016-05-01 03:51:22,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,3
29100,2963230,2.9733477869949143e+18,2016-05-05 01:46:19,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,1
29294,568458,2.9733477869949143e+18,2016-05-01 06:46:25,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,6
29488,355208,2.9733477869949143e+18,2016-05-01 17:59:52,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,17
29682,1593091,2.9733477869949143e+18,2016-05-01 00:53:15,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,0
29876,334251,2.9733477869949143e+18,2016-05-01 00:50:47,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,0
30070,2719947,2.9733477869949143e+18,2016-05-06 09:02:05,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,9
30264,1162829,2.9733477869949143e+18,2016-05-01 22:03:31,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,22
30458,2774272,2.9733477869949143e+18,2016-05-07 09:22:56,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,9
30652,2347767,2.9733477869949143e+18,2016-05-01 18:13:07,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,18
30846,1592301,2.9733477869949143e+18,2016-05-07 22:40:30,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,22
