,device_id,phone_brand,device_model
158,-3222776250853963251,三星,Galaxy Trend DUOS 2
159,-3879814950608035840,ZUK,Z1
160,8565274130668106625,华为,荣耀3X畅玩版
161,-8651665791729763140,小米,MI 2S
162,1228560407293443629,华为,Ascend P8
163,1702736327130287622,vivo,Y11IT
164,5361561146989183803,小米,红米note增强版
165,-2991070776784842454,三星,Galaxy S4
166,-1149982181569750169,OPPO,A31
167,1969430954850806984,小米,MI 3
168,-9180656534144532607,小米,天鉴W900
169,-7073378532221464420,华为,Ascend G700T
170,1608982815239116756,三星,Galaxy Note 3
171,-4244857800457832965,三星,Galaxy R
172,-7930945000118591468,小米,F301
173,-4338342114905461103,华为,荣耀畅玩5X
174,4486340976295203389,小米,红米note
175,-3183647977013292586,OPPO,N1 Mini
176,8394627758435216403,vivo,X5M
177,6154574796085364029,OPPO,Find 5
178,7028710317607338037,小米,红米note
179,-8931357977554266315,奇酷,青春版
180,-3105139098919670576,小米,小米note
181,-7512807473685808927,华为,荣耀畅玩4C
182,-4645265162522195186,小米,红米2
183,-7779024476214423627,小米,红米note增强版
184,4821188344512951911,vivo,X5Pro
185,-6804409317631863501,vivo,X5V
186,-1471555669853512141,小米,红米note
187,2228793902948671507,OPPO,A11
188,-4506037980642577602,小米,MI pad
189,-6542619556983326172,OPPO,R1
190,6817020593563771960,努比亚,Z7 Mini
191,1604294017098291062,小米,红米2A
192,-6914116235104401043,三星,Galaxy Note 5
193,-5016858682269222163,小米,小米4C
194,2245330978838477229,华为,MediaPad M2-801W
195,559670674810483440,三星,Galaxy J5
196,835081718953722180,魅族,魅蓝Note 2
197,5239695402507119552,小米,MI 3
198,-4254733899160289728,奇酷,青春版
199,2016969891061346864,三星,Galaxy Grand Neo Plus
200,61327251415190511,华为,Ascend GX1
201,197934938249113639,小米,红米note
202,463679977175061055,小米,MI 3
203,1084123005508667663,小米,MI 2S
204,9073815480828593798,OPPO,R817
205,-8126302119835621758,vivo,X3T
206,-6183582202662359302,三星,Galaxy E7
207,-6355933532242418611,华为,荣耀3X畅玩版
208,217445952540199645,小米,X817
209,2877422230403206693,小米,GN700W
210,4177039748786282819,华为,荣耀6
211,9188025633060370895,华为,荣耀畅玩4X
212,7810188155959021092,小米,MI 4
213,-8927426486423851326,魅族,魅蓝Note 2
214,1041180170966084486,vivo,Y20T
215,1256369741925334811,华为,荣耀+
216,5055162262471561212,三星,A680
217,5017417916377750590,小米,红米2A
218,-4071758319202042733,OPPO,R7
219,-6804922457174088323,华为,荣耀4A
220,625164286551776757,小米,红米Note2
221,7476559289032341946,OPPO,R7 Plus
222,7734229661190115075,华为,荣耀畅玩4X
223,-6247247125500122830,vivo,Y27
224,6203265913933675222,小米,红米1S
225,-3135972485475791427,酷派,5891
226,8750943020428801057,酷派,大神F1
227,-3375494958820388122,三星,Galaxy J5
228,-3665158397517933641,华为,P8 Lite
229,4639825251936594517,三星,Galaxy Grand Prime
230,-5029093692011976229,优米,UIMI3
231,-820308339006326431,华为,Ascend P8
232,-3844727541546448596,OPPO,N1 Mini
233,5463675985357974179,惠普,Compaq 7
234,-7059047520849163352,华为,G628
235,5597650430359778474,小米,小米note
236,-3496331643488195603,欧博信,IVO 6622
237,1041524894491773161,小米,红米2
238,4227091240805759644,华为,B199
239,-6485763788883183890,三星,Galaxy Trend 3
240,-6913773784771078780,华为,荣耀7
241,4491850891434520727,华为,荣耀畅玩4X
242,-8358486409337514301,vivo,X1ST
243,-6357324092893042699,三星,S7568I
244,4035078303533819006,华为,C8818
245,7367934189164533341,vivo,Y622
246,2221646194686349829,华为,Mate 7
247,3536582625138338211,魅族,魅蓝2
248,-1353779184986416234,华为,Mate 7 青春版
249,6373871410849747545,华为,Mate 7
250,-3734487735993077847,OPPO,1107
251,-1362602904777527960,小米,MI 4
252,2107223618969302050,华为,荣耀7
253,6957816558741637492,三星,Galaxy S2
254,5895568335541144552,小米,红米2
255,7252062330170425343,奇酷,青春版
256,-7687333523744027111,三星,Galaxy Note 3
257,5690863410118930629,华为,P8 Lite
258,-8801127454334482899,华为,荣耀6
259,-7870159506816141682,三星,乐檬K3 Note
260,-2209908897759253133,魅族,MX3
261,-2326332034831725775,小米,MI 2
262,-1850287767207382611,小米,MI 3
263,-2182212731494303636,三星,Galaxy S3
264,-1438980405808677799,OPPO,R7
265,3865921038118525765,三星,Galaxy Win
266,-1218058066526535237,三星,Galaxy S4 Zoom
267,5843628064548947201,三星,Galaxy S5
268,5552472811055828179,三星,Galaxy Ace Dear
269,-5253130124542217342,小米,MI 2
270,5330770856550954906,小米,红米note
271,-662311857737993803,vivo,Y27
272,-8222074447671112306,三星,Galaxy S4
273,-3262653050352962253,小米,红米1S
274,4530094653265194852,尼比鲁,火星一号
275,-903253296973722553,三星,Galaxy Note 3
276,-6146110267414616899,酷派,大神F1
277,-547299159843479631,魅族,MX3
278,-7972821561196524183,小米,MI 4
279,8047328286333786744,华为,荣耀畅玩4X
280,-2032316601126448406,小米,GN706L
281,-6416813644380097357,三星,乐檬K3
282,-8046062912970608187,华为,Ascend P1
283,-2088125469436349694,OPPO,R831T
284,6229806970618411889,魅族,M9
285,3874208694416262926,三星,Galaxy S6 Edge
286,-6222816368538321420,魅族,MX3
287,-9172144120341857683,华为,U9508
288,6827550793455009956,三星,乐檬K3 Note
289,-2484673922270027744,小米,红米Note2
290,5453171693869676427,vivo,X5M
291,-8490893175242071921,vivo,X5Max
292,-2328704728545202083,华为,荣耀畅玩4C
293,-2667442540217860814,美图,2
294,3485302089310188126,魅族,魅蓝Note 2
295,3002864372540600191,小米,红米Note2
296,-1460290366306897189,中国移动,A1
297,1014365374377886461,乡米,X8888
298,-6812597424746632624,小米,MI 3
299,1179895184101054072,魅族,魅蓝2
300,-6928327044156742334,三星,Galaxy S4
301,6475746767262464782,三星,Galaxy Trend DUOS 2
302,1597960539703750985,魅族,MX3
303,-8789124281531477756,三星,联想黄金斗士S8
304,-4203319929854647786,三星,S60t
305,-1643602226892030356,酷派,大神F2
306,7532912724729515595,魅族,MX3
307,-8351624812977157365,魅族,魅蓝NOTE
308,3710047436838760923,小米,小米note
309,-5863900647969195092,HTC,One
310,7287503213218561570,vivo,Xplay3S
311,5073758563623540223,OPPO,R1S
312,7812995524324637936,小米,MI 4
313,-3085928842624768532,vivo,X5M
314,9101119145988909139,小米,红米note
315,-572522234563116907,华为,荣耀畅玩4X
316,-6636635849036130074,魅族,魅蓝2
317,-6101572398289111027,vivo,X5Pro
318,-3867246836503700068,酷派,Y60-C1
319,-4445464189276353987,三星,Galaxy S4
320,-2101263862936668123,LG,Nexus 5
321,-5689014255106644266,小米,红米note
322,452470226595961413,三星,Galaxy Win
323,3374447981047317501,三星,Galaxy Mega 5.8
324,7471315022444064878,优米,UIMI4
325,201908145015996865,小米,红米Note2
326,9113963253448952890,OPPO,R809T
327,4923754768226234571,vivo,X3L
328,-64983638317365633,联想 ,Q507T
329,2656491637531045394,华为,荣耀6 Plus
330,6113503721356634279,摩托罗拉,Moto X Style
331,-1571938099619621699,小米,红米1S
332,1581938542533933271,三星,A788t
333,672465596380697970,酷派,大神F2
334,7054000321869620830,OPPO,R7
335,1378947719883661260,小米,MI 4
336,-724166789496487213,魅族,魅蓝
337,-1731940290151392648,vivo,X5V
338,2428072939638272059,vivo,Y13iL
339,-2562891345651651669,三星,Galaxy S6 Edge
340,-123091620660008967,vivo,X5Pro
341,-9177242489883139028,华为,荣耀6 plus
342,540163513040717065,华为,G610S
343,3119210440443412011,三星,Galaxy Note 2
344,1676232191829570234,OPPO,N1T
345,3023580358903591170,vivo,Y27
346,-8236788558398294918,华为,X1 7.0
347,-8880996631495052823,小米,红米2A
348,7484949649911820581,vivo,Y613F
349,5509797330009415273,三星,Galaxy A7
350,-5940437598218410209,中国移动,N1
351,1973493713702098065,小米,MI 2S
352,2562481487879502195,OPPO,R7
353,-5379771342889966487,小米,红米Note2
354,8789935764770246520,三星,Galaxy S4
355,-3194605666047016654,小米,红米2A
356,6684656605720064167,小米,红米note
357,-2344091284277293323,华为,荣耀4A
358,-3523095557661783831,三星,Galaxy S4
359,4533620519636349106,vivo,Y23L
360,2325279733887900997,酷派,大神F2全高清版
361,5755801361587551626,小米,MI 2S
362,5683388852503964779,华为,荣耀畅玩4C
363,-3860763766992208465,魅族,MX5
364,2198360599608410724,华为,Ascend P8
365,6498151016790859615,魅族,魅蓝2
366,915444367986170120,ZUK,Z1
367,1238700974573603593,华为,Ascend P8
368,-858386084058370821,vivo,Y13iL
369,-2650011867593184828,HTC,灵感XL
370,-2174283074309163482,小米,红米note
371,1151738900049772797,OPPO,Find 5
372,-3750165081722885080,奇酷,旗舰版
373,-4430795538203534500,小米,红米Note2
374,1446873408352129988,OPPO,Find 5
375,-4582547448510593251,vivo,Y927
376,4549496211550394484,魅族,魅蓝2
377,911904779795551698,三星,Galaxy Grand Neo Plus
378,3598548865268256727,小米,红米Note3
379,-8085589666736261400,努比亚,Z9 mini
380,1803457904898116567,vivo,X3S
381,-734485850674115409,vivo,Y15
382,6764693466536145362,OPPO,R7
383,6272734946700986903,OPPO,R831S
384,-4523731822854136693,华为,Ascend P7
385,-8723439088795974233,华为,荣耀6
386,1025882112858178387,小米,MI 3
387,-616718052096376630,小米,MI 4
388,-7038575260818677461,OPPO,N1 Mini
389,3300361375762338521,OPPO,R7s
390,7714151389348840955,华为,荣耀畅玩4X
391,476093905660062295,酷派,大神F1Plus
392,-6014164743660909283,小米,MI 2S
393,-7077316740294597452,华为,荣耀畅玩4
394,8979362461617093339,小米,红米Note2
395,3511365316455817258,OPPO,R815T
396,6745198645236173777,魅族,MX5
397,-8394226350013076373,OPPO,R819T
398,-3686025432670501150,三星,Galaxy Note 3
399,-273670262674386633,三星,Galaxy Core Prime
400,-5006810952361421309,HTC,Butterfly
401,7371221915044358081,酷派,大神F1Plus
402,-234596011786726086,中国移动,A1
403,4553597285921238280,小米,小米4C
404,2379121766744628115,魅族,魅蓝NOTE
405,8465879828692773227,三星,Galaxy Style DUOS
406,-7857939359841994827,OPPO,A31
407,3556722749881652520,vivo,Xperia S
408,-2137227742415007231,三星,Galaxy Note 3 Lite
409,-6886494989754489195,OPPO,R1S
410,-8317776529630798230,梦米,P6
411,758945775719823296,小米,S7
412,8692682454737086491,小米,MI 2
413,7573480668371805913,三星,Galaxy S6
414,-6627913455393671842,小米,红米note增强版
415,-1462078113511750131,华为,G628
416,5673628446478659332,小米,MI 2S
417,2375523501863307275,三星,Galaxy Grand Neo Plus
418,-4964582742040081394,锤子,坚果手机
419,-6935205211257040349,小米,MI 3
420,-2919817498217216321,富可视,M210
421,-2533192902565666740,魅族,魅蓝Note 2
422,-2280251559739859587,小米,红米note
423,496154761689206870,华为,Ascend P8
424,-2977754504281043871,魅族,MX2
425,-3713711606429296043,小米,红米1S
426,-8337049912898237432,OPPO,R7
427,-4276133118757867337,vivo,S7I
428,-7463689019945416743,OPPO,A51
429,4659291518938488370,魅族,魅蓝Note 2
430,7517787789940127721,华为,荣耀畅玩4C
431,6030445536605196241,魅族,MX3
432,2548473019414080561,努比亚,Z7 Mini
433,-1969239982129475799,OPPO,X907
434,1743211856360122597,小米,红米
435,-1617557466398596339,小米,MI 4
436,-210351317030552666,魅族,魅蓝
437,-8599494881173996883,三星,Galaxy J5
438,1479391217077400134,vivo,Y33
439,954703868217350398,vivo,Y27
440,620331438819843066,三星,Galaxy Win
441,-4941342448592021616,华为,荣耀畅玩4X
442,443375728272332111,乐视,超级手机1 Pro
443,-1856873666048506233,小米,红米note增强版
444,-5788800395524474157,小米,MI 2S
445,7845144586475566294,三星,Galaxy S4
446,-7793193189838109187,三星,Galaxy Grand DUOS
447,489008394850803353,华为,荣耀畅玩4X
448,-3452901561966246869,小米,红米note增强版
449,4469889593958854204,vivo,Xperia Z5
450,-2875990704214225089,华为,G620-L75
451,98503289715646852,华为,畅享5
452,-2492869764454238790,vivo,Xplay
453,-8978883150945034940,三星,Galaxy Win
454,-6723177021887374654,华为,荣耀畅玩4X
455,-6276278269422901898,魅族,MX4 Pro
456,-9183949596387782012,华为,荣耀6
457,1925553923187379157,三星,Galaxy S5
458,8754900870302651611,vivo,X5Pro
459,1811836844512667345,三星,乐檬K3
460,-6893375933269031936,华为,荣耀7
461,5932025400118437646,华为,Mate 7
462,-4360838764255430028,OPPO,R7
463,-4487490092892040378,华为,Ascend P8
464,-3989339919344526616,华为,荣耀畅玩4X
465,4595164039261780959,小米,MI 2
466,4749790496409284642,三星,Galaxy S6 Edge+
467,7715942457335606446,小米,MI 4
468,-223472652014855496,vivo,X5Max+
469,3866545657666545473,小米,MI 3
470,7943620256549958708,华为,荣耀畅玩4C
471,-3740406247708405400,小米,红米Note2
472,1373695950947877742,OPPO,R7s
473,6681813546912411603,酷派,8185
474,-2263092006789760041,华为,荣耀3C
475,-6094345935598210762,华为,荣耀7i
476,-1187612535313159627,三星,G3588V
477,-7736063171032369945,vivo,Y937
478,5182634224636798566,三星,Galaxy S4
479,5203099801514264978,华为,荣耀6 Plus
480,-6613393426458859118,小米,小米4C
481,-2956334783638347534,HTC,T528t
482,5067845878726884735,三星,Galaxy A8
483,-8391029357442320355,三星,Galaxy S6
484,2309252619242148676,OPPO,N3
485,-6725090764519584329,vivo,X5Max+
486,-3185045500141345544,小米,MI 2S
487,-6149473145121874406,小米,MI 4
488,8882826085141123756,酷派,8720L
489,593861446495196776,三星,Galaxy Note 3
490,687077695945399616,华为,荣耀7
491,3706441776468770290,小米,红米2A
492,2284360110056895413,华为,荣耀7
493,1303773491104159127,华为,G610T
494,3198118119842446971,魅族,MX3
495,4453421676718915584,vivo,S7T
496,-7057577039556083223,华为,畅享5
497,-8429528610229688219,华为,荣耀畅玩4X
498,-8894199296242837098,vivo,X3T
499,-8659887135916970303,小米,MI 3
500,-2117314255038975513,尼比鲁,火星一号
501,-7273014645463642131,小米,MI 2S
502,3140940776106551144,中国移动,A1
503,-8301731093485295195,联想 ,V5 Max
504,-7991948987700799574,小米,MI 3
505,4619710663186155671,魅族,MX5
506,4915303929452020814,OPPO,A51
507,9130693239198348494,魅族,魅蓝Note 2
508,7948073777015809850,小米,红米2
509,-5932278665259014624,小米,MI One Plus
510,5298673078875224260,vivo,Xperia Z1
511,-1041597465276221517,小米,红米
512,-9179392810848439302,OPPO,R7
513,6031170282142438963,三星,Galaxy Grand DUOS
514,7602515035958175834,三星,S90-t
515,-4794735870849923338,华为,荣耀6
516,4451828602330206974,三星,Galaxy S4
517,-1109285471337044632,vivo,Xperia Z3 mini
518,-3884290749318679136,酷派,8105
519,7774826130244411689,vivo,Y27
520,7934553064412250139,小米,小米4C
521,-4175903333241763438,小米,红米2
522,3305160818219763988,vivo,X5M
523,9040305266366893578,小米,MI 2
524,-1636277832980181268,中国移动,A1
525,8364456753514280491,魅族,魅蓝2
526,921231529777877325,魅族,魅蓝Note 2
527,1574643303259752313,vivo,X5L
528,4858897522851138472,酷派,7270-W00
529,-7278302391919474844,OPPO,R7 Plus
530,-7101477552390394162,小米,MI 4
531,7340472137146957601,小米,红米
532,-7003269477952270990,小米,S7
533,-4750266975496196018,HTC,M8St
534,2214620190602891890,华为,P8 Lite
535,7975363579210877326,OPPO,Find 7
536,-3140228792280273095,OPPO,R7 Plus
537,-749945579537685709,小米,红米2
538,3005054185285510307,酷派,F2
539,6215557000961674564,小米,红米2A
540,-8833821477328898539,OPPO,R7 Plus
541,-7536856226501811981,华为,荣耀畅玩4X
542,-7524257999851516314,华为,荣耀畅玩4C
543,3132420421091035088,华为,荣耀畅玩5X
544,-3542345942984113251,三星,Galaxy A8
545,3276489383557182957,奇酷,青春版
546,1361157773765159340,小米,MI 2
547,635865081828496069,HTC,Desire 820
548,-7296330339319982248,三星,A750
549,6882746531123928618,小米,小米note
550,-3802082410985769896,华为,Ascend P8
551,-1652272189039955694,小米,F301
552,-7334051818152907205,小米,MI 4
553,-6065147391819402574,三星,Galaxy Trend DUOS 2
554,8884625593579215667,华为,荣耀6
555,2552804091140372532,小米,红米note
556,8468929674698797459,三星,S898t
557,-7596564478669917183,三星,Galaxy Note 3
558,6488948760058698825,OPPO,R7
559,4089947549758617354,小米,MI 4
560,7452297132503109510,华为,荣耀6
561,-3866966610256094628,魅族,魅蓝metal
562,-423858005707557632,小米,MI 2S
563,716239890991290993,LG,P970
564,3584536376614605672,小米,MI 4
565,4491354501747992182,三星,Galaxy Note 2
566,7497355282213416111,小米,小米4C
567,-7910041592229699907,魅族,MX4
568,1113772935844467689,三星,Galaxy Win
569,4333597877239573391,OPPO,R7
570,-2972469503211909244,小米,MI 4
571,7528253813620869757,小米,红米2A
572,-2826883247692391704,三星,Galaxy Mega 6.3
573,2554606243494617121,小米,MI 3
574,-1029776527662783615,华为,荣耀畅玩4C
575,8226436103141355091,vivo,X3T
576,6610920400369632803,OPPO,R7 Plus
577,249558421987950446,小米,MI 3
578,-1644727107080426506,三星,Galaxy A7
579,7233283139845083704,OPPO,R1S
580,5632935003531610027,三星,Galaxy S4
581,-444068606036816132,酷派,5890
582,-8159704210213029650,三星,Galaxy Grand Prime
583,-3958580476041277999,奇酷,旗舰版
584,-451455165356876967,三星,Galaxy Note 2
585,-1740111271518408476,OPPO,R823T
586,-2709780278262868838,华为,荣耀6
587,-4911187971884485815,努比亚,Z9 Max
588,-4573265070178043046,魅族,PRO5
589,-7787265069062507738,小米,红米note
590,-2854701438613515740,小米,note顶配版
591,5767380056484635000,魅族,MX4
592,-4596537046828326467,华为,荣耀畅玩4X
593,-4569413420366164569,魅族,MX3
594,9169826718819903312,华为,荣耀畅玩4X
595,6690948776971378783,小米,红米Note2
596,1731593778549194288,vivo,X5SL
597,8702655410163195741,华为,荣耀畅玩4
598,-7801245781673113308,OPPO,R7
599,4823533963602784225,小米,MI 3
600,-2059562544538846494,三星,Galaxy Note 4
601,-6724180042758044605,vivo,Y29L
602,-8918878907522136309,小米,红米note
603,5764142973706635678,小米,红米Note2
604,-6226497902770423511,魅族,PRO5
605,-1008172259872900192,小米,红米note
606,1401813711102812260,小米,MI 3
607,-9193385808489893612,小米,红米Note2
608,-6482684617120101618,华为,G610S
609,4371859378735186730,海信,E602T
610,-4455113778129742157,小米,MI 3
611,-7585152716680891307,华为,荣耀畅玩4X
612,8285593309927340344,三星,Galaxy S5
613,-9193464968161690954,三星,Galaxy Note 2
614,-1171992495061476594,小米,GN150
615,-6165247554869936477,三星,Galaxy Note 2
616,-7381424305938716311,华为,G628
617,7116594078955604855,酷派,8190Q
618,-7574558643950734975,三星,Galaxy Grand 2
619,6549078800816214296,华为,荣耀7i
620,446508023708633846,魅族,MX4
621,7059695387682942222,小米,红米note
622,8027061469440628491,魅族,MX4
623,7082561760051647185,海信,E620M
624,-8007192543815904865,乐视,超级手机1
625,104024209111440690,酷派,8702D
626,-3033694627973325721,魅族,魅蓝NOTE
627,1241520752858517585,OPPO,R831S
628,171161177541244158,三星,Galaxy Grand
629,3061510293310925641,小米,MI 2S
630,1867683933730058832,华为,麦芒4
631,-2467424271232582725,vivo,Y27
632,184549844784077739,小米,MI 2S
633,1344567447706469125,三星,Galaxy S4
634,5913870150565721104,小米,小米4C
635,-4510948746686686320,三星,Galaxy Note 3
636,3856426485294135139,华为,荣耀3C
637,2934265528257286013,小米,红米note
638,2999450573578363280,vivo,X3L
639,1749986978131277304,中国移动,N1
640,-7755551111002651450,乐视,超级手机1 Pro
641,5812246907035263969,三星,Galaxy Note
642,-2496705891799683947,联想 ,U960E
643,-2828406027422108348,小米,红米note
644,3468652792621111996,三星,Galaxy A7
645,-6311742925461483139,LG,Nexus 5
646,6849455745550601656,三星,Galaxy Grand 2
647,-6835921906322850841,联想 ,Grand X
648,2518800760241946529,vivo,Xperia arc S
649,-6937489105927924169,魅族,MX4
650,-7383729859322465816,百立丰,T708
651,-8363543717895063746,小米,MI 4
652,8269714575804857458,OPPO,N1 Mini
653,4606714468796333826,一加,X
654,-2019505863726101732,华为,G610T
655,-3128885026273701635,vivo,Y29L
656,6571589275976777137,三星,Galaxy S6 Edge+
657,7834542029709111186,小米,MI 2S
658,-5925478927342992867,三星,Galaxy S6
659,-7575057278369229905,三星,Galaxy S3
660,-4661602098732065133,酷派,F2
661,9123676204396397557,三星,Galaxy Mega 5.8
662,-503017450638907,三星,Galaxy A7
663,5726865096630356761,语信,T50
664,-6291489875229048828,魅族,魅蓝2
665,4499349691855367422,小米,MI 4
666,45817958939645203,OPPO,R6007
667,-3940548360908759703,联想 ,V5 Max
668,-7467925731126581316,小米,MI 4
669,1115991149944834419,华为,荣耀畅玩5
670,-8977193068697317912,HTC,One M8
671,-2789772317064365442,小米,GN128
672,5449866837188516158,vivo,X3T
673,-3084226054116081811,三星,Galaxy Note 3 Lite
674,-2986361806193027290,魅族,MX3
675,-8637244575327374671,OPPO,A11
676,1543400054583723285,OPPO,N1 Mini
677,-4533349015665811119,三星,Galaxy S6 Edge
678,2168906191194661482,OPPO,A31
679,-2862703197183075502,小米,小米4C
680,-7585589163043491919,三星,Galaxy Note 3
681,6854481834212834657,三星,Galaxy Note 3
682,-7075715591447938224,魅族,MX5
683,6849722846171575699,小米,红米Note2
684,6823852033423393190,魅族,魅蓝metal
685,-927265069841216419,酷派,F2
686,-4319359762654544401,乐视,超级手机1s
687,4436631656550760283,小米,小米note
688,-6708810825991488260,华为,Mate 7
689,8827773441832288145,三星,Galaxy S4
