,device_id,gender,age,group
82,-360168846769617446,M,38,M32-38
83,4049342567374065020,M,29,M29-31
84,5660846220747791709,F,64,F43+
85,2346793034696706898,M,28,M27-28
86,-4924030293291439654,M,42,M39+
87,1676196645503737870,M,42,M39+
88,4922799967163614958,M,24,M23-26
89,-6571452454273901516,M,46,M39+
90,-2056729718209154009,M,32,M32-38
91,404958689637790744,M,44,M39+
92,6895504244645409122,M,44,M39+
93,-7882183570062087941,M,24,M23-26
94,5446913796434345063,F,46,F43+
95,-3859751359584472885,M,30,M29-31
96,5662094349477792975,F,21,F23-
97,-4650666927489443566,F,21,F23-
98,3804056002627416258,M,29,M29-31
99,-8266281880829904174,M,29,M29-31
100,5973319239886062800,F,28,F27-28
101,202462323314332621,F,28,F27-28
102,7326636766251173655,M,27,M27-28
103,-4144445179725470192,M,21,M22-
104,8907764229603533579,F,23,F23-
105,-5261054643656080753,F,23,F23-
106,3819716873588642183,F,23,F23-
107,4650021665055865662,M,20,M22-
108,-5441393164079058849,F,34,F33-42
109,-8582139297114165642,F,25,F24-26
110,7761134629352961054,M,21,M22-
111,6927671656924395665,M,26,M23-26
112,5984369821078450685,M,26,M23-26
113,2959524852145775517,M,30,M29-31
114,-2114716321141097556,M,30,M29-31
115,699478504411407472,M,27,M27-28
116,-1872001393673636989,F,26,F24-26
117,-4872982505937593114,M,39,M39+
118,-4430857349056469253,F,20,F23-
119,-5340398384027830118,F,20,F23-
120,1704840088089510706,M,24,M23-26
121,-4246359349357769983,F,28,F27-28
122,-8165550889984892199,F,28,F27-28
123,4297455138616652485,M,29,M29-31
124,-1747655920783302206,M,27,M27-28
125,2275434704754261644,M,24,M23-26
126,3752341244715056358,M,41,M39+
127,-754365920636902161,F,25,F24-26
128,-5638884600299366389,M,28,M27-28
129,4816687632811889210,F,31,F29-32
130,593669313143296408,F,31,F29-32
131,248228453883119456,F,28,F27-28
132,8561987004157629214,M,30,M29-31
133,-448645680703615976,M,31,M29-31
134,-8887145707214349266,F,28,F27-28
135,-7154614355022595143,F,29,F29-32
136,-5352494765561872354,F,29,F29-32
137,6203757811505041868,F,23,F23-
138,8213642428559590445,F,36,F33-42
139,-8018890275127066945,M,24,M23-26
140,7222366654900852519,F,22,F23-
141,6123790560434642813,M,38,M32-38
142,8369299031756452885,F,36,F33-42
143,-7861418408615064463,F,23,F23-
144,9146497636646056842,M,35,M32-38
145,-2489556190686427591,M,35,M32-38
146,-3274254800053988869,M,33,M32-38
147,-8344622686419295900,M,33,M32-38
148,-7464543035045993775,M,33,M32-38
149,-2999736920417270580,F,22,F23-
150,3190702475320666496,M,29,M29-31
151,6709821453224441026,M,38,M32-38
152,6021983857045701513,F,27,F27-28
153,-6494821234293367565,M,37,M32-38
154,8749724299667578438,M,34,M32-38
155,-3113143023563671753,M,37,M32-38
156,-5028220390242257416,F,27,F27-28
157,-3794473641159391327,F,34,F33-42
158,3141753394038535319,M,41,M39+
159,-4917609465027922615,M,21,M22-
160,-1516688507910543815,F,43,F43+
161,4142956234059879708,F,33,F33-42
162,-4917418725007279484,F,30,F29-32
163,-7516440352534368031,M,31,M29-31
164,6439649945388461116,M,28,M27-28
165,-7348867500610951647,M,31,M29-31
166,-8163914028422841035,M,31,M29-31
167,1603640831768213530,M,28,M27-28
168,-8003284722005509153,M,28,M27-28
169,-5203038592600087183,M,32,M32-38
170,-4810626615146220634,M,32,M32-38
171,8862410784192965428,F,36,F33-42
172,2939637043564785302,F,46,F43+
173,8753601250612921480,F,51,F43+
174,-5116656739499156887,F,51,F43+
175,-7646353414568593628,M,30,M29-31
176,-5189881483734033534,M,46,M39+
177,-4996365611575224625,M,46,M39+
178,-6711641544479668924,M,34,M32-38
179,6206722327442379463,F,31,F29-32
180,3493988831547441804,M,32,M32-38
181,4366005122372201003,M,24,M23-26
182,1386963267590573431,M,24,M23-26
183,-6330378243113796645,M,34,M32-38
184,-7865367115690889902,M,38,M32-38
185,-1858006844990046411,M,31,M29-31
186,-3228486232941564156,F,28,F27-28
187,-5602557068543221619,F,28,F27-28
188,-1451022929123789871,F,28,F27-28
189,7790659424525077194,F,28,F27-28
190,8920285886738674998,M,28,M27-28
191,-4852607865204248032,M,31,M29-31
192,-2426517319208539667,M,31,M29-31
193,-8249736197215467956,M,41,M39+
194,2270921318416256658,M,25,M23-26
195,-1319995297521489561,M,31,M29-31
196,9138019064415706007,F,36,F33-42
197,-7319671561866655769,F,36,F33-42
198,2978253634008558593,M,38,M32-38
199,8061585136093547923,M,38,M32-38
200,-8545729738118500183,M,26,M23-26
201,1474139374992166898,M,22,M22-
202,1601488851299080757,M,33,M32-38
203,8655869457573847114,M,33,M32-38
204,3611992091268251668,F,31,F29-32
205,4192900550916502009,M,27,M27-28
206,7085696727020395428,M,29,M29-31
207,-7040791784866622265,M,39,M39+
208,4329078646062358068,M,35,M32-38
209,3456872842738035793,M,34,M32-38
210,-2966512100134318742,F,30,F29-32
211,2040535522516268215,F,23,F23-
212,-3310045835362138089,F,32,F29-32
213,-4699662670867136082,F,46,F43+
214,-7548291590301750136,M,33,M32-38
215,-7963397998932390299,M,49,M39+
216,-7082232536999173876,M,36,M32-38
217,-6242893361006209354,F,32,F29-32
218,-2415127400609093036,M,27,M27-28
219,2894174233476843291,M,21,M22-
220,2977628559549884847,M,32,M32-38
221,-2657430017797696536,M,32,M32-38
222,4497817510933031170,M,32,M32-38
223,2460194575250181595,M,53,M39+
224,-5872355609156227199,F,39,F33-42
225,8069018087348622619,M,53,M39+
226,4948898765850983971,M,53,M39+
227,3147394884766951836,M,53,M39+
228,80935662153622052,M,53,M39+
229,-7945392883263043020,M,59,M39+
230,7021855019699124523,F,25,F24-26
231,-766118996225706089,F,45,F43+
232,-900650310696232044,F,30,F29-32
233,-8762995520315894664,M,28,M27-28
234,5421267314514963969,M,28,M27-28
235,-529046212852150867,M,28,M27-28
236,-1895509578144570493,M,31,M29-31
237,-2478156885124026620,F,24,F24-26
238,-7279624854596091363,M,42,M39+
239,5692610091528369777,M,48,M39+
240,6562806239947577010,M,50,M39+
241,-7306135389406963510,M,43,M39+
242,5702872234734716353,M,32,M32-38
243,6488610263167172153,M,46,M39+
244,-3529774277648147974,M,38,M32-38
245,-6000733973296812644,M,24,M23-26
246,2350979402202438478,M,47,M39+
247,-621174912844602038,M,34,M32-38
248,-4153865198013987891,M,70,M39+
249,9219479903879163716,F,27,F27-28
250,-2389013266016611875,M,27,M27-28
251,6565337312089151336,F,32,F29-32
252,6281195034868006293,F,39,F33-42
253,-6065952695936634687,M,21,M22-
254,6391503609295653806,F,24,F24-26
255,-3227288379325915241,M,35,M32-38
256,9123392963738377798,M,32,M32-38
257,-1938435110960608198,M,21,M22-
258,5636743222462110847,M,27,M27-28
259,1540134249071138179,F,67,F43+
260,2844534599979001280,M,33,M32-38
261,6327103640181623607,M,30,M29-31
262,7507270603885968883,M,48,M39+
263,-565124306076115432,M,48,M39+
264,4419526128131778535,F,44,F43+
265,-5284404864046190914,F,44,F43+
266,2060749851566670252,F,44,F43+
267,-8593265039555205241,M,34,M32-38
268,-6141801790803850097,F,36,F33-42
269,-6492462980844783230,M,24,M23-26
270,6775652294837141141,F,24,F24-26
271,4258636597181710806,F,30,F29-32
272,3235635318498361849,M,32,M32-38
273,3163787231116816284,M,33,M32-38
274,2824416853940964538,M,19,M22-
275,-4249929128118593776,M,37,M32-38
276,6783516722606734308,F,29,F29-32
277,-2777441777805531461,F,29,F29-32
278,-5693154089237308179,F,29,F29-32
279,-225262823313738339,F,29,F29-32
280,2724015352885630840,F,29,F29-32
281,-8448590394900141907,M,27,M27-28
282,338283462287728873,M,26,M23-26
283,4704542779027368284,M,33,M32-38
284,1975516998960925196,F,30,F29-32
285,7116779436642135828,M,29,M29-31
286,8543316339499766821,F,33,F33-42
287,6823319585575058469,M,50,M39+
288,583157140721431142,F,34,F33-42
289,72999436528877253,F,34,F33-42
290,7244527048146468873,F,31,F29-32
291,-7799207332505443834,M,31,M29-31
292,-4555256352171659738,F,22,F23-
293,9022373770725490123,F,22,F23-
294,1714287570154592293,F,48,F43+
295,-2141028849447517652,M,52,M39+
296,-3007290059075922008,F,31,F29-32
297,6677898008001741134,F,31,F29-32
298,2130490974990662039,M,25,M23-26
299,-1791818818985507554,M,25,M23-26
300,8724849398259744677,F,27,F27-28
301,-2135911353025150071,M,26,M23-26
302,-5977779196775749873,M,41,M39+
303,-9134556132023507861,F,29,F29-32
304,-49730763913378432,M,31,M29-31
305,1459080085082043728,M,31,M29-31
306,7050857104490950917,M,34,M32-38
307,-5401753062424811373,M,51,M39+
308,3604511296492842086,M,32,M32-38
309,-3226520822719883647,M,27,M27-28
310,-2094691511186450567,M,22,M22-
311,-4466935442609903897,M,32,M32-38
312,-6785716032312317966,M,38,M32-38
313,3500307892205027190,F,33,F33-42
314,-1117454837751951991,M,35,M32-38
315,8118936935913363277,M,25,M23-26
316,-1357401245479679056,F,39,F33-42
317,-318708851494203604,F,38,F33-42
318,7610335843466648867,M,24,M23-26
319,2320542621284956663,M,24,M23-26
320,6348079742918185023,M,24,M23-26
321,1444928900010815808,M,39,M39+
322,3744909594455282523,M,46,M39+
323,5255430446391714185,M,27,M27-28
324,-7650841846815498584,M,26,M23-26
325,-6797960682712450133,M,30,M29-31
326,-8146966056838942606,M,25,M23-26
327,-9153245537488288364,M,25,M23-26
328,-360233945138979577,F,39,F33-42
329,1663389245555042663,M,27,M27-28
330,5805575799056444427,M,42,M39+
331,6448757979883417999,M,36,M32-38
332,-954680535608637556,F,24,F24-26
333,3654345234677910057,F,24,F24-26
334,7562411939803512882,F,45,F43+
335,-2874573589030714776,F,26,F24-26
336,-6652140857336427673,M,31,M29-31
337,-3174514444476368200,F,29,F29-32
338,8972321560616453482,M,35,M32-38
339,-4935335315811963318,M,35,M32-38
340,8276999935602524746,M,39,M39+
341,3402994260166624775,F,32,F29-32
342,5108142823291112751,M,45,M39+
343,3471451329225031495,M,31,M29-31
344,-6791581020624214971,F,29,F29-32
345,-2094586929577583000,M,29,M29-31
346,-2683545177557247024,F,47,F43+
347,-4214293157750794619,M,29,M29-31
348,1459738584733677563,M,29,M29-31
349,1469006017306955518,M,24,M23-26
350,5297854804165140682,F,45,F43+
351,7231270196225939131,M,22,M22-
352,700830215931679317,M,25,M23-26
353,-637891494492896017,M,25,M23-26
354,8668918402869143275,F,28,F27-28
355,1888521065893978058,F,28,F27-28
356,2825141601023672167,F,42,F33-42
357,4449470138586525722,F,30,F29-32
358,-8366131750644256209,M,22,M22-
359,-3534551426935880265,F,47,F43+
360,1502461605760473195,F,44,F43+
361,-4771881468336909132,M,40,M39+
362,-5685117998885564353,M,36,M32-38
363,8161044391542216225,M,52,M39+
364,-4198791070540130017,M,37,M32-38
365,-8475312114246077271,M,37,M32-38
366,1319324274909532362,F,29,F29-32
367,-1177635519148501584,F,29,F29-32
368,4189762977638537239,F,29,F29-32
369,-3077937920672001811,F,28,F27-28
370,-3244096424715237105,F,28,F27-28
371,-4671788193261470496,F,28,F27-28
372,113979950782839877,M,30,M29-31
373,503143391156241086,M,30,M29-31
374,-6042908553950254235,M,27,M27-28
375,-345871495580169903,M,35,M32-38
376,9106723912388896801,M,29,M29-31
377,7284031010300954848,F,37,F33-42
378,4032612108650097762,M,32,M32-38
379,8352592309255706786,M,34,M32-38
380,7705384213380232481,M,33,M32-38
381,1123870157669170491,M,27,M27-28
382,7921733448240571356,M,42,M39+
383,2399914927947537397,M,42,M39+
384,6277401130315436930,M,26,M23-26
385,5441095450799834215,M,30,M29-31
386,-4005849076109412284,M,63,M39+
387,-179790220800402751,M,26,M23-26
388,7866598770427892860,M,35,M32-38
389,-5493563917628184466,M,29,M29-31
390,9203006693435653275,M,27,M27-28
391,2355041056604318522,M,38,M32-38
392,1411171847723420780,M,25,M23-26
393,-6985934243613826863,M,34,M32-38
394,7352701797930096128,F,27,F27-28
395,8848742706511928763,M,30,M29-31
396,-6583823906225667083,M,21,M22-
397,-7771398025617818409,M,21,M22-
398,-7691879765552453435,M,35,M32-38
399,2464684863257435773,M,35,M32-38
400,6604280119591140661,M,42,M39+
401,-20667435396379759,M,30,M29-31
402,5581064628061795937,M,29,M29-31
403,-8587610512543135636,F,27,F27-28
404,5413704986152654312,M,45,M39+
405,3504563730603386282,F,60,F43+
406,6863112459383289362,M,33,M32-38
407,3675909796369127445,M,33,M32-38
408,-5317745724179407738,M,37,M32-38
409,6423288831466633660,M,27,M27-28
410,8312667491634467650,M,26,M23-26
411,-8164663270002147627,F,34,F33-42
412,-1759997501338681850,M,26,M23-26
413,3036600127070433664,M,38,M32-38
414,3603255247253715956,F,42,F33-42
415,-6294981216321531814,F,48,F43+
416,-167571000635525578,M,39,M39+
417,-1045655858343636006,F,27,F27-28
418,1255915588387999803,M,47,M39+
419,-9211636527106625314,M,31,M29-31
420,6140506024248427109,F,22,F23-
421,3679272092861009086,M,29,M29-31
422,1187259603731284031,M,29,M29-31
423,-655444116637802254,M,47,M39+
424,2510851418746740937,M,36,M32-38
425,-7702849433553367406,M,24,M23-26
426,-7344170352548055641,M,24,M23-26
427,-1176968711259010606,M,29,M29-31
428,6427638870670310680,M,20,M22-
429,-4277494943660351916,M,47,M39+
430,-2213794781340645248,F,33,F33-42
431,5112375494822102110,M,46,M39+
432,-4597930075539490849,M,46,M39+
433,-2176202895717029268,M,30,M29-31
434,-4837437557348002889,M,35,M32-38
435,678054189899995599,M,35,M32-38
436,3634584596342582895,M,27,M27-28
437,6242045993734232436,M,61,M39+
438,7497850677598683461,F,23,F23-
439,-3641970131210381534,M,33,M32-38
440,8522618421597953014,M,28,M27-28
441,-6018160454764528851,F,39,F33-42
442,6788691223026392889,M,29,M29-31
443,5785252018416191581,M,35,M32-38
444,-6739684703749059557,M,43,M39+
445,-5066301088967309406,M,23,M23-26
446,-3352337094847398864,M,21,M22-
447,3050020885746905033,M,21,M22-
448,7464518683724727658,F,33,F33-42
449,4977791024608210667,M,31,M29-31
450,6824596868855223630,M,44,M39+
451,-7044168722752090349,M,20,M22-
452,3344241795823208895,M,24,M23-26
453,6703232543519770914,F,60,F43+
454,589557985088430288,F,35,F33-42
455,8946598892027654292,F,29,F29-32
456,-7083853366829402397,M,29,M29-31
457,-2001567280649176448,M,29,M29-31
458,646307682968211609,M,24,M23-26
459,-4986392845443402625,F,33,F33-42
460,-5487152191347785398,F,44,F43+
461,2662126988550136306,F,78,F43+
462,-6630551694025657184,F,29,F29-32
463,7958696823479453960,F,29,F29-32
464,9047713447193243097,M,24,M23-26
465,-4307993308323975261,M,28,M27-28
466,5861119094982137442,M,31,M29-31
467,-4377371438971174786,M,31,M29-31
468,-4374356101743562672,M,31,M29-31
469,1442070159850622197,M,29,M29-31
470,1352886169581418887,M,35,M32-38
471,-1940964897031620305,M,27,M27-28
472,6019832031671410230,M,24,M23-26
473,2048082274046894024,M,24,M23-26
474,-6032484110824395920,M,24,M23-26
475,-1582252749329288852,M,23,M23-26
476,6655529407431740036,M,31,M29-31
477,-1474792823754483907,M,30,M29-31
478,1029904277495989007,M,30,M29-31
479,720756603628213494,M,27,M27-28
480,6310961650826747907,F,27,F27-28
481,2407358055337822629,M,27,M27-28
482,-4217973406658219504,M,47,M39+
483,-5179541163565136976,M,45,M39+
484,-4551768034596689389,M,39,M39+
485,6356675767217309603,M,24,M23-26
486,6008495818349839326,M,32,M32-38
487,-2790183384476760306,M,37,M32-38
488,9149103074456470249,M,30,M29-31
489,1695761527019641539,M,34,M32-38
490,-5383319989100702684,M,34,M32-38
491,-8386606593312868092,M,29,M29-31
492,4889327164992412585,M,29,M29-31
493,-6153673241974140087,M,41,M39+
494,-2037634822852281255,M,38,M32-38
495,-7096688265900000579,M,26,M23-26
496,-8679605999382303581,M,56,M39+
497,-1983931105460838223,M,39,M39+
498,-3846422794537928556,M,37,M32-38
499,-7120133646302952092,M,40,M39+
500,4573555264680860597,M,38,M32-38
501,-9080632005894836087,M,21,M22-
502,5239934703976628317,M,38,M32-38
503,-4093873478471274301,M,26,M23-26
504,-3808211154648602735,M,28,M27-28
505,-3528523897959651909,M,39,M39+
506,-5920211050759233549,M,39,M39+
507,-5177331251703379618,M,32,M32-38
508,291962812379126626,M,32,M32-38
509,-3861862675756404953,M,32,M32-38
510,8353740206445735179,M,23,M23-26
511,1163952773185536842,F,39,F33-42
512,-873214840155221503,M,35,M32-38
513,-6058512568653763470,F,35,F33-42
514,-6868379650375898437,M,26,M23-26
515,-2330036225904384801,F,25,F24-26
516,1822607312031879171,M,35,M32-38
517,3288693535742394934,M,26,M23-26
518,3439985609749922150,M,39,M39+
519,-1688527666462535726,M,44,M39+
520,-2828331636363738843,M,44,M39+
521,-602351730740783793,M,44,M39+
522,1325987205615111172,M,44,M39+
523,-2802543599440680842,M,38,M32-38
524,6090310796599938899,M,27,M27-28
525,-5514406392341151487,F,27,F27-28
526,3796280135236396817,F,22,F23-
527,332380340265563941,F,37,F33-42
528,7123479605708697395,F,37,F33-42
529,6026687977234910115,F,37,F33-42
530,4505562063265677513,F,37,F33-42
531,4981382137382970454,M,34,M32-38
532,-236963596009956963,M,25,M23-26
533,-229180280378644612,F,31,F29-32
534,812521723479166670,M,29,M29-31
535,4530013951351880954,F,42,F33-42
536,1318303222997853851,F,33,F33-42
537,5031308204970224592,M,24,M23-26
538,7576677397230418334,M,24,M23-26
539,7552099237693808316,M,23,M23-26
540,1119943039459733860,M,32,M32-38
541,8780875081637886518,M,36,M32-38
542,1043546028888154415,M,29,M29-31
543,-8295193153214873881,M,31,M29-31
544,1874308258075089641,M,33,M32-38
545,-184400817050772603,M,26,M23-26
546,-7603777855807306454,M,32,M32-38
547,-5181402337880396912,M,50,M39+
548,8134709830571845726,M,28,M27-28
549,-7065078100475716045,M,27,M27-28
550,552498749193063741,F,22,F23-
551,8761770737926125955,F,22,F23-
552,-4844946365893487136,M,32,M32-38
553,-5000507903395027839,M,36,M32-38
554,-244415756622179948,F,45,F43+
555,-3086495925588504008,M,25,M23-26
556,4690577651905751454,M,26,M23-26
557,1895275241111410061,M,29,M29-31
558,4978373534460377887,M,45,M39+
559,2973015864073168250,F,27,F27-28
560,2080579331913165589,F,43,F43+
561,8720083342483823841,M,27,M27-28
562,2389384819016317481,M,28,M27-28
563,-5611722417377626845,M,38,M32-38
564,-557453964647696216,M,37,M32-38
565,5980555560479015572,M,28,M27-28
566,2772316738047304946,F,33,F33-42
567,-6233661495000219593,M,35,M32-38
568,8336875548926735477,M,39,M39+
569,-280792878984386324,M,27,M27-28
570,-8665947049306807542,M,28,M27-28
571,-4545977437136433255,M,28,M27-28
572,-8382006046590136079,M,65,M39+
573,-5693598844768112670,F,38,F33-42
574,1294088097492388254,M,29,M29-31
575,-8556957033165979792,M,33,M32-38
576,4603814831359865578,F,27,F27-28
577,-2441997096530002111,F,25,F24-26
578,-6877287750680911522,M,27,M27-28
579,5993353186365951031,M,35,M32-38
580,-429243268324577775,M,33,M32-38
581,8068167578165647993,F,21,F23-
582,-476136805185072151,F,24,F24-26
583,2239743897399916630,F,24,F24-26
584,-6352016173918609049,F,24,F24-26
585,-1225265882896385622,M,26,M23-26
586,6103442463969172338,F,24,F24-26
587,6607167843813496848,M,23,M23-26
588,7567769845262808695,F,27,F27-28
589,-6575679788532858282,M,22,M22-
590,-8373775120252184104,F,28,F27-28
591,-3060960912794428756,F,32,F29-32
592,-2263386497719973834,F,25,F24-26
593,2425712196469098015,M,37,M32-38
594,5819828849011388017,M,29,M29-31
595,-4303306460426303766,M,31,M29-31
596,-3151287449207977360,F,28,F27-28
597,-6908175429289823652,F,24,F24-26
598,7283212553045812974,M,48,M39+
599,3455329865379031063,F,23,F23-
600,8122538296654843910,F,23,F23-
601,6545829736541135762,F,32,F29-32
602,-1352971490438520298,M,58,M39+
603,1830977800029584826,M,23,M23-26
604,7589944181455401696,M,31,M29-31
605,-4562868606216655042,M,23,M23-26
606,-8267593724208020595,M,22,M22-
607,-4462949239456847644,F,33,F33-42
608,8139979595744739956,M,31,M29-31
609,4489130943120478197,M,33,M32-38
610,7855796739862822440,M,33,M32-38
611,-7232119701913724901,M,35,M32-38
612,2916492334541429963,M,21,M22-
613,-8556224142279945015,M,26,M23-26
614,8212624264342837651,F,46,F43+
615,5746873171138935874,M,22,M22-
616,-1889033480958016238,F,42,F33-42
617,2195335594844094753,F,42,F33-42
618,3307527014822292766,F,26,F24-26
619,-7994663434773874663,M,26,M23-26
620,4474091956427439415,F,21,F23-
621,-4100601935100144456,M,20,M22-
622,-8345182684710435434,F,28,F27-28
623,4919779603258636370,M,30,M29-31
624,-1954607149185073844,M,31,M29-31
625,1756263286013259682,F,25,F24-26
626,9207787349472356557,F,25,F24-26
627,5688826388913067086,F,24,F24-26
628,3934934395617094031,M,30,M29-31
629,1356097039154028040,F,24,F24-26
630,6239423502551981723,F,48,F43+
631,-6188687531249685859,M,29,M29-31
632,-5762038527485744367,M,22,M22-
633,9184963992247652631,M,28,M27-28
634,-7052719623154709360,M,25,M23-26
635,5497917570934923139,M,25,M23-26
636,5199501260865897629,M,22,M22-
637,4817078779940161981,M,22,M22-
638,-51750163801907850,F,22,F23-
639,1111484923755793372,F,22,F23-
640,4100316791460108477,M,20,M22-
641,-1891588492640041559,F,26,F24-26
642,6531672631308745261,M,43,M39+
643,7766418226696443142,M,26,M23-26
644,3821765784939856800,M,23,M23-26
645,8427667165276516409,M,34,M32-38
646,-5424968430956426798,F,24,F24-26
647,-7324369287810342925,M,23,M23-26
648,-1686327245264629942,M,42,M39+
649,-920676380266502164,F,22,F23-
650,-3132167788374472541,M,26,M23-26
651,2566965360077727779,F,24,F24-26
652,6341873412278035467,F,29,F29-32
653,283151695342775598,F,29,F29-32
654,-2405582520624040607,F,29,F29-32
655,6452262489405534657,F,24,F24-26
656,-3654173299440079718,F,24,F24-26
657,-5533049833247758243,M,21,M22-
658,8567125034063848708,F,25,F24-26
659,3129094543007770603,F,20,F23-
660,8802247658835316864,F,27,F27-28
661,-6896857513293590628,F,27,F27-28
662,7099572251426077823,F,21,F23-
663,4169579345658395579,M,21,M22-
664,-320934505147790930,M,21,M22-
665,-3711568206807815381,F,30,F29-32
666,-2514012772375917529,M,39,M39+
667,4360315587716027479,M,20,M22-
668,-7783426489126424162,M,20,M22-
669,6901454746287513697,M,20,M22-
670,991137519522277857,M,20,M22-
671,2816058300929426287,M,20,M22-
672,-7284154769153384474,M,20,M22-
673,72619722599122472,M,20,M22-
674,-1633084237568254787,F,22,F23-
675,266598286759225880,M,29,M29-31
676,-6403572455003976570,M,35,M32-38
677,7504679594395103702,M,36,M32-38
678,4789204688675568150,M,29,M29-31
679,-2726030791460218136,F,22,F23-
680,-6777739487963556282,M,23,M23-26
681,8429238081983048014,M,41,M39+
682,7105286326770848100,F,30,F29-32
683,7825425485977209626,F,30,F29-32
684,-5462293806292385274,M,21,M22-
685,-1847317782088679119,M,20,M22-
686,5615244592642498159,M,20,M22-
687,4871684940984050877,F,34,F33-42
688,8497952435614723307,F,34,F33-42
689,3608732192276702589,M,26,M23-26
690,8512805238634502234,M,21,M22-
691,-1562096238246403266,M,26,M23-26
692,-3164037806420057128,F,21,F23-
693,-3430460284808041981,M,29,M29-31
694,4782818509742237099,M,34,M32-38
695,-2801576702987903744,M,34,M32-38
696,8525424737557216450,M,22,M22-
697,4899921266881369610,M,22,M22-
698,8336949864011006855,F,36,F33-42
699,-5600730878380485214,F,31,F29-32
700,-2470383375942730835,F,31,F29-32
701,8737555301670840212,M,19,M22-
702,-2289980470972914582,M,23,M23-26
703,8249445891956836787,M,23,M23-26
704,6162372511985048741,M,23,M23-26
705,-3282973596598697750,M,34,M32-38
706,-8263208485823447044,M,27,M27-28
707,-9177698159910455532,F,32,F29-32
708,5203430653181720743,M,17,M22-
709,356520478854373064,F,25,F24-26
710,7678236292142484082,F,27,F27-28
711,492533159890295341,F,21,F23-
712,-4893865424406334764,F,32,F29-32
713,-6864731714065740021,F,21,F23-
714,-22473684698194950,M,17,M22-
715,473071926003296712,M,19,M22-
716,-5729489580637816452,F,19,F23-
717,-7345618372322051389,F,19,F23-
718,1208777562949892492,F,31,F29-32
719,385823142853736548,F,31,F29-32
720,-4735382375325691891,M,22,M22-
721,-4417546389678328866,F,21,F23-
722,-295437681750492352,M,20,M22-
723,1557837677453886064,F,27,F27-28
724,8325412457274125679,F,27,F27-28
725,989663811919883179,M,29,M29-31
726,8283059944440954104,M,29,M29-31
727,-4950499031450221003,M,29,M29-31
728,8659293525381562711,M,21,M22-
729,5491270369830480293,F,45,F43+
730,2877482175246871880,M,20,M22-
